KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001104001,T001104002,T001104003,T001104004,T001104005,T001104006,T001104007,T001104008,T001104009,T001104010,T001104011,T001104012,T001104013
,,,,,,,総数,Ａ管理的職業従事者,Ｂ専門的・技術的職業従事者,Ｃ事務従事者,Ｄ販売従事者,Ｅサービス職業従事者,Ｆ保安職業従事者,Ｇ農林漁業従事者,Ｈ生産工程従事者,Ｉ輸送・機械運転従事者,Ｊ建設・採掘従事者,Ｋ運搬・清掃・包装等従事者,Ｌ分類不能の職業
14104013004,4,横浜市中区,北仲通四丁目,0,,,11,-,8,2,1,-,-,-,-,-,-,-,-
14104013005,4,横浜市中区,北仲通五丁目,0,,,764,68,230,239,138,36,2,-,18,15,5,2,11
14104013006,4,横浜市中区,北仲通六丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
141040190,3,横浜市中区,本町,0,,,223,16,75,70,26,14,4,1,3,3,1,3,7
14104019001,4,横浜市中区,本町一丁目,0,,,87,3,26,28,14,9,2,-,1,2,-,1,1
14104019002,4,横浜市中区,本町二丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104019003,4,横浜市中区,本町三丁目,0,,,11,1,4,4,1,1,-,-,-,-,-,-,-
14104019004,4,横浜市中区,本町四丁目,1,,19005,116,12,43,34,9,4,2,1,2,1,1,2,5
14104019005,4,横浜市中区,本町五丁目,2,19004,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104019006,4,横浜市中区,本町六丁目,0,,,9,-,2,4,2,-,-,-,-,-,-,-,1
141040250,3,横浜市中区,南仲通,0,,,218,9,65,77,35,22,-,-,5,3,-,2,-
14104025001,4,横浜市中区,南仲通一丁目,0,,,184,6,51,67,32,20,-,-,3,3,-,2,-
14104025002,4,横浜市中区,南仲通二丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104025003,4,横浜市中区,南仲通三丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104025004,4,横浜市中区,南仲通四丁目,2,25005,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104025005,4,横浜市中区,南仲通五丁目,1,,25004,34,3,14,10,3,2,-,-,2,-,-,-,-
141040300,3,横浜市中区,弁天通,0,,,309,10,108,97,48,21,-,-,8,5,6,4,2
14104030001,4,横浜市中区,弁天通一丁目,0,,,36,1,15,9,8,1,-,-,1,-,1,-,-
14104030002,4,横浜市中区,弁天通二丁目,0,,,42,1,17,10,7,3,-,-,2,2,-,-,-
14104030003,4,横浜市中区,弁天通三丁目,0,,,69,3,18,23,10,7,-,-,1,1,2,3,1
14104030004,4,横浜市中区,弁天通四丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104030005,4,横浜市中区,弁天通五丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104030006,4,横浜市中区,弁天通六丁目,0,,,162,5,58,55,23,10,-,-,4,2,3,1,1
141040360,3,横浜市中区,太田町,0,,,290,2,106,100,39,15,1,-,9,2,5,6,5
14104036001,4,横浜市中区,太田町一丁目,0,,,14,-,9,1,1,1,-,-,-,-,-,1,1
14104036002,4,横浜市中区,太田町二丁目,2,36003,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104036003,4,横浜市中区,太田町三丁目,1,,036002;036004,176,1,64,60,23,9,1,-,5,1,3,5,4
14104036004,4,横浜市中区,太田町四丁目,2,36003,,X,X,X,X,X,X,X,X,X,X,X,X,X
14104036005,4,横浜市中区,太田町五丁目,0,,,34,-,16,9,5,2,-,-,2,-,-,-,-
14104036006,4,横浜市中区,太田町六丁目,0,,,66,1,17,30,10,3,-,-,2,1,2,-,-
141040420,3,横浜市中区,相生町,0,,,190,7,59,60,39,12,-,-,7,2,2,1,1
14104042001,4,横浜市中区,相生町一丁目,0,,,25,-,10,9,4,1,-,-,1,-,-,-,-
14104042002,4,横浜市中区,相生町二丁目,0,,,32,2,9,10,7,3,-,-,1,-,-,-,-
14104042003,4,横浜市中区,相生町三丁目,0,,,78,4,24,21,20,1,-,-,2,2,2,1,1
14104042004,4,横浜市中区,相生町四丁目,0,,,20,1,5,10,2,1,-,-,1,-,-,-,-
14104042005,4,横浜市中区,相生町五丁目,0,,,5,-,1,-,-,3,-,-,1,-,-,-,-
14104042006,4,横浜市中区,相生町六丁目,0,,,30,-,10,10,6,3,-,-,1,-,-,-,-
141040480,3,横浜市中区,住吉町,0,,,355,15,103,107,63,20,2,-,13,3,5,14,10
14104048001,4,横浜市中区,住吉町一丁目,0,,,63,2,13,21,20,2,-,-,1,1,-,3,-
14104048002,4,横浜市中区,住吉町二丁目,0,,,62,2,21,16,11,4,-,-,3,-,2,1,2
14104048003,4,横浜市中区,住吉町三丁目,0,,,5,-,-,2,-,2,-,-,-,-,-,1,-
14104048004,4,横浜市中区,住吉町四丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104048005,4,横浜市中区,住吉町五丁目,0,,,27,2,11,6,4,2,-,-,1,-,1,-,-
14104048006,4,横浜市中区,住吉町六丁目,0,,,198,9,58,62,28,10,2,-,8,2,2,9,8
141040540,3,横浜市中区,常盤町,0,,,54,-,19,12,6,10,1,1,-,-,-,4,1
14104054001,4,横浜市中区,常盤町一丁目,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-
14104054002,4,横浜市中区,常盤町二丁目,0,,,29,-,10,6,3,6,1,-,-,-,-,2,1
14104054003,4,横浜市中区,常盤町三丁目,0,,,12,-,6,4,1,1,-,-,-,-,-,-,-
14104054004,4,横浜市中区,常盤町四丁目,2,54006,,X,X,X,X,X,X,X,X,X,X,X,X,X
